name,handedness,height,weight,avg,HR
Tim Laudner,Right Handed, 75, 212, 0.225, 77
Jose Morales,Right Handed, 71, 187, 0.287, 26
Luis Encarnacion,Right Handed, 70, 178, 0.0, 0
Rick Kreuger,Right Handed, 74, 185, 0.0, 0
Juan Marichal,Right Handed, 72, 185, 0.165, 4
Vida Blue,Both Handed, 72, 189, 0.104, 4
Angel Moreno,Left Handed, 69, 165, 0.0, 0
Roger Weaver,Right Handed, 75, 190, 0.0, 0
Stan Papi,Right Handed, 72, 170, 0.218, 7
Rob Wilfong,Left Handed, 73, 180, 0.248, 39
Chris Knapp,Right Handed, 77, 195, 0.0, 0
Steve Henderson,Right Handed, 74, 190, 0.280, 68
Rob Picciolo,Right Handed, 74, 185, 0.234, 17
Don Welchel,Right Handed, 76, 205, 0.0, 0
Randy Wiles,Left Handed, 73, 185, 0.0, 0
Roberto Pena,Right Handed, 68, 170, 0.245, 13
Bob Dernier,Right Handed, 72, 160, 0.255, 23
Bill Melton,Right Handed, 74, 200, 0.253, 160
Albert Hall,Both Handed, 71, 155, 0.251, 5
Barbaro Garbey,Right Handed, 70, 170, 0.267, 11
John Milner,Left Handed, 72, 185, 0.249, 131
Rich Reese,Left Handed, 75, 185, 0.253, 52
Chris Bando,Both Handed, 72, 195, 0.227, 27
Bill Buckner,Left Handed, 72, 185, 0.289, 174
Jack Hiatt,Right Handed, 74, 190, 0.251, 22
Nelson Mathews,Right Handed, 76, 195, 0.223, 22
Larry Lintz,Both Handed, 69, 150, 0.227, 0
Ron Theobald,Right Handed, 68, 165, 0.248, 2
Dewey Robinson,Right Handed, 72, 180, 0.0, 0
Rafael Santana,Right Handed, 73, 165, 0.246, 13
Jerry Hairston,Both Handed, 70, 170, 0.258, 30
Tony Arnold,Right Handed, 71, 170, 0.0, 0
Jeff Schattinger,Left Handed, 77, 200, 0.0, 0
Ike Brookens,Right Handed, 77, 170, 0.0, 0
Tommie Aaron,Right Handed, 75, 190, 0.229, 13
Steve Dillard,Right Handed, 73, 180, 0.243, 13
Win Remmerswaal,Right Handed, 74, 160, 0.0, 0
Jeff Peterek,Right Handed, 74, 195, 0.0, 0
George Scott,Right Handed, 74, 200, 0.268, 271
Jeff Shaver,Right Handed, 75, 195, 0.0, 0
Ken Walters,Right Handed, 73, 180, 0.231, 11
Gorman Thomas,Right Handed, 74, 210, 0.225, 268
Paul Dade,Right Handed, 73, 185, 0.270, 10
Darrell Porter,Left Handed, 72, 193, 0.247, 188
Tim Johnson,Left Handed, 73, 170, 0.223, 0
Fred Stanley,Right Handed, 70, 165, 0.216, 10
Larry Bowa,Both Handed, 70, 155, 0.260, 15
Tim Corcoran,Left Handed, 71, 175, 0.270, 12
Jim Spencer,Left Handed, 74, 195, 0.250, 146
Pete LaCock,Left Handed, 74, 200, 0.257, 27
Carl Morton,Right Handed, 72, 200, 0.156, 7
Gary Gray,Right Handed, 72, 187, 0.240, 24
Matty Alou,Left Handed, 69, 160, 0.307, 31
Pete Filson,Both Handed, 74, 195, 0.0, 0
Jim Dwyer,Left Handed, 70, 165, 0.260, 77
Dalton Jones,Left Handed, 73, 180, 0.235, 41
Rennie Stennett,Right Handed, 71, 160, 0.274, 41
Jim Gideon,Right Handed, 75, 190, 0.0, 0
Jerry May,Right Handed, 74, 190, 0.234, 15
Rich McKinney,Right Handed, 71, 185, 0.225, 20
Clint Hurdle,Left Handed, 75, 195, 0.259, 32
Mike Andrews,Right Handed, 75, 195, 0.258, 66
Bobby Clark,Right Handed, 72, 190, 0.239, 19
Jeff Twitty,Left Handed, 74, 185, 0.0, 0
Cliff Johnson,Right Handed, 76, 215, 0.258, 196
Steve Cummings,Both Handed, 74, 200, 0.0, 0
Donn Clendenon,Right Handed, 76, 209, 0.274, 159
Charlie James,Right Handed, 73, 195, 0.255, 29
Bob Horner,Right Handed, 73, 195, 0.277, 218
Tom Veryzer,Right Handed, 73, 175, 0.241, 14
Jose Cecena,Right Handed, 71, 180, 0.0, 0
George Smith,Right Handed, 70, 170, 0.205, 9
Jim Essian,Right Handed, 74, 195, 0.244, 33
Onix Concepcion,Right Handed, 66, 160, 0.239, 3
Boots Day,Left Handed, 69, 160, 0.256, 8
Brian Giles,Right Handed, 73, 165, 0.228, 10
Garry Maddox,Right Handed, 75, 175, 0.285, 117
Alex Trevino,Right Handed, 70, 165, 0.249, 23
Jim Price,Right Handed, 72, 192, 0.214, 18
Felix Millan,Right Handed, 71, 172, 0.279, 22
Steve Garvey,Right Handed, 70, 192, 0.294, 272
Don Mincher,Left Handed, 75, 205, 0.249, 200
Greg Erardi,Right Handed, 73, 190, 0.0, 0
Jim Farr,Right Handed, 73, 195, 0.0, 0
Tony Cloninger,Right Handed, 72, 210, 0.192, 11
Jim Gosger,Left Handed, 71, 185, 0.226, 30
Chuck Harrison,Right Handed, 70, 185, 0.238, 17
Mike Ivie,Right Handed, 75, 205, 0.269, 81
Frank Dimichele,Right Handed, 75, 205, 0.0, 0
Bob Veale,Both Handed, 78, 212, 0.114, 0
Marvell Wynne,Left Handed, 71, 175, 0.247, 40
Dusty Baker,Right Handed, 74, 183, 0.278, 242
Tucker Ashford,Right Handed, 73, 195, 0.218, 6
Ned Yost,Right Handed, 73, 190, 0.212, 16
Bob Stinson,Both Handed, 71, 180, 0.250, 33
Mike Warren,Right Handed, 73, 175, 0.0, 0
Gaylord Perry,Right Handed, 76, 205, 0.131, 6
Dave Marshall,Left Handed, 73, 182, 0.246, 16
Mickey Hatcher,Right Handed, 74, 200, 0.280, 38
Roger Repoz,Left Handed, 75, 190, 0.224, 82
Bill Fulton,Right Handed, 75, 195, 0.0, 0
John Orsino,Right Handed, 75, 215, 0.249, 40
Larry Anderson,Right Handed, 75, 190, 0.0, 0
Johnny Briggs,Left Handed, 73, 190, 0.253, 139
Craig Mitchell,Right Handed, 75, 180, 0.0, 0
Dave Hostetler,Right Handed, 76, 215, 0.229, 37
Bob Jones,Left Handed, 74, 195, 0.221, 20
Keith Hernandez,Left Handed, 72, 180, 0.296, 162
Alfredo Martinez,Right Handed, 75, 185, 0.0, 0
Dean Chance,Right Handed, 75, 200, 0.066, 0
Willie Upshaw,Left Handed, 72, 185, 0.262, 123
Dick Green,Right Handed, 70, 180, 0.240, 80
Dane Iorg,Left Handed, 72, 180, 0.276, 14
Richie Hebner,Left Handed, 73, 195, 0.276, 203
Fran Healy,Right Handed, 77, 220, 0.250, 20
Doc Edwards,Right Handed, 74, 215, 0.238, 15
Sandy Alomar,Both Handed, 69, 140, 0.245, 13
Joe Strain,Right Handed, 70, 169, 0.250, 1
Gene Richards,Left Handed, 72, 175, 0.290, 26
Buddy Bell,Right Handed, 73, 180, 0.279, 201
Al Woods,Left Handed, 75, 190, 0.271, 35
Rudy Law,Left Handed, 73, 165, 0.271, 18
Joel Davis,Left Handed, 77, 205, 0.0, 0
Jody Davis,Right Handed, 76, 192, 0.245, 127
Mike Edwards,Right Handed, 70, 154, 0.250, 2
Bill Mooneyham,Right Handed, 72, 175, 0.0, 0
John Hobbs,Right Handed, 75, 190, 0.0, 0
Deron Johnson,Right Handed, 74, 200, 0.244, 245
John Denny,Right Handed, 75, 185, 0.170, 0
Don Wert,Right Handed, 70, 162, 0.242, 77
Mike Fiore,Left Handed, 72, 175, 0.227, 13
Miguel Dilone,Both Handed, 72, 160, 0.265, 6
Greg Luzinski,Right Handed, 73, 220, 0.276, 307
Bobby Tolan,Left Handed, 71, 170, 0.265, 86
Karl Best,Right Handed, 76, 190, 0.0, 0
Steve Barr,Left Handed, 76, 200, 0.0, 0
Ron Woods,Right Handed, 70, 168, 0.233, 26
Tony Horton,Right Handed, 75, 210, 0.268, 76
Randy Hundley,Right Handed, 71, 170, 0.236, 82
Jose Tartabull,Left Handed, 71, 165, 0.261, 2
Ben Oglivie,Left Handed, 74, 160, 0.273, 235
Luis Sanchez,Right Handed, 74, 170, 0.0, 0
Bob Johnson,Right Handed, 70, 175, 0.272, 44
Don Buford,Both Handed, 67, 160, 0.264, 93
Duane Kuiper,Left Handed, 72, 175, 0.271, 1
Brant Alyea,Right Handed, 75, 215, 0.247, 38
Jerry Narron,Left Handed, 75, 205, 0.211, 21
Lou Johnson,Right Handed, 71, 170, 0.258, 48
Ken Retzer,Left Handed, 72, 185, 0.264, 14
Mike Brown,Right Handed, 74, 195, 0.265, 23
Mike Brown,Right Handed, 74, 195, 0.0, 0
Greg Walker,Left Handed, 75, 205, 0.260, 113
Terry Harper,Right Handed, 76, 195, 0.253, 36
Jerry Royster,Right Handed, 72, 165, 0.249, 40
Steve Davis,Left Handed, 73, 195, 0.0, 0
Jeff Rineer,Left Handed, 76, 205, 0.0, 0
Barry Bonnell,Right Handed, 75, 190, 0.272, 56
Tom Seaver,Right Handed, 73, 195, 0.154, 12
Jerry Martin,Right Handed, 73, 195, 0.251, 85
Bill Stein,Right Handed, 70, 170, 0.267, 44
Joel Youngblood,Right Handed, 72, 180, 0.265, 80
Reggie Jackson,Left Handed, 72, 195, 0.262, 563
Sonny Jackson,Left Handed, 69, 150, 0.251, 7
Mark Mercer,Left Handed, 77, 220, 0.0, 0
Rodney Scott,Both Handed, 72, 160, 0.236, 3
Rich Coggins,Left Handed, 68, 170, 0.265, 12
Phil Gagliano,Right Handed, 73, 180, 0.238, 14
Jerry McNertney,Right Handed, 72, 180, 0.237, 27
Mitchell Page,Left Handed, 74, 205, 0.266, 72
Kiko Garcia,Right Handed, 71, 180, 0.239, 12
Larry Milbourne,Both Handed, 72, 161, 0.254, 11
Bill Sudakis,Both Handed, 73, 190, 0.234, 59
John Caneira,Right Handed, 75, 180, 0.0, 0
Domingo Ramos,Right Handed, 70, 154, 0.240, 8
Ron Oester,Both Handed, 74, 185, 0.265, 42
Glenn Adams,Left Handed, 73, 180, 0.280, 34
Clint Zavaras,Right Handed, 73, 175, 0.0, 0
Joe Morgan,Left Handed, 67, 160, 0.271, 268
R.J. Reynolds,Both Handed, 72, 190, 0.267, 35
Mike Parrott,Right Handed, 76, 210, 0.0, 0
Lee Thomas,Left Handed, 74, 195, 0.255, 106
Ray Fosse,Right Handed, 74, 215, 0.256, 61
Paul Popovich,Both Handed, 72, 175, 0.233, 14
John Stephenson,Left Handed, 71, 180, 0.216, 12
Doug Clemens,Left Handed, 72, 180, 0.229, 12
Luis Aponte,Right Handed, 72, 185, 0.0, 0
Orlando Mercado,Right Handed, 72, 180, 0.199, 7
Charley Smith,Right Handed, 73, 170, 0.239, 69
Paul Boris,Right Handed, 74, 200, 0.0, 0
Buddy Biancalana,Both Handed, 71, 160, 0.205, 6
De Wayne Buice,Right Handed, 72, 170, 0.0, 0
Bob Uecker,Right Handed, 73, 190, 0.200, 14
Felix Torres,Right Handed, 71, 165, 0.254, 27
Steve Braun,Left Handed, 70, 180, 0.271, 52
Ray Knight,Right Handed, 73, 185, 0.271, 84
Ty Cline,Left Handed, 72, 170, 0.238, 6
Thad Bosley,Left Handed, 75, 175, 0.272, 20
Bobby Grich,Right Handed, 74, 180, 0.266, 224
Jimmie Hall,Left Handed, 72, 175, 0.254, 121
John Boccabella,Right Handed, 73, 195, 0.219, 26
Brock Davis,Left Handed, 70, 160, 0.260, 1
Mark Esser,Right Handed, 73, 190, 0.0, 0
Curt Blefary,Left Handed, 74, 195, 0.237, 112
Daryl Smith,Right Handed, 76, 185, 0.0, 0
Dave Smith,Right Handed, 73, 190, 0.0, 0
Mack Jones,Left Handed, 73, 180, 0.252, 133
Buddy Bradford,Right Handed, 71, 170, 0.226, 52
Hosken Powell,Left Handed, 73, 175, 0.259, 17
Dave Stapleton,Left Handed, 73, 185, 0.0, 0
Dave Stapleton,Right Handed, 73, 178, 0.271, 41
Gary Ward,Right Handed, 74, 195, 0.276, 130
Jim Lonborg,Right Handed, 77, 200, 0.136, 3
Joe Lis,Right Handed, 72, 175, 0.233, 32
Dan Meyer,Left Handed, 71, 180, 0.253, 86
Jim Holt,Left Handed, 72, 180, 0.265, 19
Tom Klawitter,Right Handed, 74, 190, 0.0, 0
Larry Herndon,Right Handed, 75, 190, 0.274, 107
Gary Christenson,Left Handed, 77, 200, 0.0, 0
Jim Wright,Right Handed, 77, 205, 0.0, 0
Jim Wright,Right Handed, 73, 165, 0.0, 0
Wallace Johnson,Both Handed, 72, 173, 0.255, 5
Mike Kinnunen,Left Handed, 73, 185, 0.0, 0
Eddie Leon,Right Handed, 72, 170, 0.236, 24
Dave Rajsich,Left Handed, 77, 175, 0.0, 0
Jim Wohlford,Right Handed, 71, 175, 0.260, 21
J.R. Richard,Right Handed, 80, 222, 0.168, 10
Bill Voss,Left Handed, 74, 160, 0.227, 19
Keith Moreland,Right Handed, 72, 190, 0.279, 121
Ramon Pena,Right Handed, 70, 155, 0.0, 0
Alex Johnson,Right Handed, 72, 205, 0.288, 78
Wayne Krenchicki,Left Handed, 73, 180, 0.266, 15
Chico Escarrega,Right Handed, 71, 185, 0.0, 0
Dave Rosello,Right Handed, 71, 160, 0.236, 10
Cardell Camper,Right Handed, 75, 208, 0.0, 0
Paul Schaal,Right Handed, 71, 165, 0.244, 57
Tito Landrum,Right Handed, 71, 175, 0.249, 13
Dave Edwards,Right Handed, 72, 170, 0.237, 14
Mario Guerrero,Right Handed, 70, 155, 0.257, 7
Tom Tresh,Both Handed, 73, 180, 0.245, 153
Mike Overy,Right Handed, 74, 190, 0.0, 0
Ron Roenicke,Both Handed, 72, 180, 0.238, 17
Doug Griffin,Right Handed, 72, 160, 0.245, 7
Steve Blass,Right Handed, 72, 165, 0.172, 1
Johnnie LeMaster,Right Handed, 74, 165, 0.222, 22
Craig Chamberlain,Right Handed, 73, 190, 0.0, 0
Nate Oliver,Right Handed, 70, 160, 0.226, 2
Ray Sadecki,Left Handed, 71, 180, 0.191, 5
Ken Rudolph,Right Handed, 73, 180, 0.213, 6
Wayne Nordhagen,Right Handed, 74, 205, 0.282, 39
Biff Pocoroba,Both Handed, 70, 175, 0.257, 21
Len Matuszek,Left Handed, 74, 190, 0.234, 30
Frank Eufemia,Right Handed, 71, 185, 0.0, 0
Joe Lefebvre,Left Handed, 70, 170, 0.258, 31
Jim Maloney,Left Handed, 74, 190, 0.201, 7
Andre Robertson,Right Handed, 70, 155, 0.251, 5
Jerry Zimmerman,Right Handed, 74, 185, 0.204, 3
Jack Lazorko,Right Handed, 71, 200, 0.0, 0
Mike Paxton,Right Handed, 71, 190, 0.0, 0
Chet Lemon,Right Handed, 72, 190, 0.273, 215
Rickey Keeton,Right Handed, 74, 190, 0.0, 0
Phil Mankowski,Left Handed, 72, 180, 0.264, 8
Cleon Jones,Right Handed, 72, 185, 0.281, 93
Joaquin Andujar,Both Handed, 72, 170, 0.127, 5
Mike Lum,Left Handed, 72, 180, 0.247, 90
Johnny Grubb,Left Handed, 75, 175, 0.278, 99
Curt Motton,Right Handed, 68, 164, 0.213, 25
Johnny Bench,Right Handed, 73, 197, 0.267, 389
Dale Berra,Right Handed, 72, 180, 0.236, 49
Terry Felton,Right Handed, 73, 180, 0.0, 0
Bob Meacham,Both Handed, 73, 175, 0.236, 8
Mark Clear,Right Handed, 76, 200, 0.0, 0
Carl Warwick,Right Handed, 70, 170, 0.248, 31
Sam Bowens,Right Handed, 73, 188, 0.223, 45
George Wright,Both Handed, 71, 180, 0.245, 42
Luis Aguayo,Right Handed, 69, 173, 0.236, 37
Hal Lanier,Right Handed, 74, 180, 0.228, 8
Mike Pazik,Left Handed, 74, 195, 0.0, 0
Len Randle,Both Handed, 70, 169, 0.257, 27
Greg Pryor,Right Handed, 72, 180, 0.250, 14
Jim Traber,Left Handed, 72, 194, 0.227, 27
Dave Nelson,Right Handed, 70, 160, 0.244, 20
Lynn Jones,Right Handed, 69, 175, 0.252, 7
Bryan Little,Both Handed, 70, 160, 0.245, 3
Ken Suarez,Right Handed, 69, 175, 0.227, 5
Rick Peters,Both Handed, 69, 170, 0.277, 2
Ron Stone,Left Handed, 74, 185, 0.241, 6
Rich Barnes,Right Handed, 76, 186, 0.0, 0
Tommie Agee,Right Handed, 71, 195, 0.255, 130
Bob Bailey,Right Handed, 73, 180, 0.257, 189
Cap Peterson,Right Handed, 74, 195, 0.230, 19
Ted Uhlaender,Left Handed, 74, 190, 0.263, 36
Ted Simmons,Both Handed, 71, 193, 0.285, 248
Bobby Murcer,Left Handed, 71, 160, 0.277, 252
Dick Tracewski,Right Handed, 71, 160, 0.213, 8
Dave Frost,Right Handed, 78, 235, 0.0, 0
Mark Souza,Left Handed, 72, 180, 0.0, 0
Bill Nahorodny,Right Handed, 74, 200, 0.241, 25
Bill Madlock,Right Handed, 71, 180, 0.305, 163
Bob Boone,Right Handed, 74, 195, 0.254, 105
Rick Jones,Left Handed, 77, 190, 0.0, 0
Steve Kemp,Left Handed, 72, 195, 0.278, 130
Rick Burleson,Right Handed, 70, 165, 0.273, 50
Jim Dorsey,Right Handed, 79, 190, 0.0, 0
Mark Ciardi,Right Handed, 72, 180, 0.0, 0
Dennis Burtt,Right Handed, 72, 180, 0.0, 0
Carl Taylor,Right Handed, 74, 200, 0.266, 10
Terry Harmon,Right Handed, 74, 180, 0.233, 4
Mike Hargrove,Left Handed, 72, 195, 0.290, 80
Rich Yett,Right Handed, 74, 187, 0.0, 0
Steve Hovley,Left Handed, 70, 188, 0.258, 8
Don Leppert,Right Handed, 74, 220, 0.229, 15
Matt Williams,Right Handed, 73, 200, 0.0, 0
Jim Burton,Right Handed, 75, 195, 0.0, 0
Rick Anderson,Right Handed, 74, 210, 0.0, 0
Charlie Mitchell,Right Handed, 75, 170, 0.0, 0
Bill Paschall,Right Handed, 72, 175, 0.0, 0
John Bohnet,Both Handed, 72, 175, 0.0, 0
Byron McLaughlin,Right Handed, 73, 175, 0.0, 0
Lee May,Right Handed, 75, 195, 0.267, 354
Luis Quintana,Left Handed, 74, 175, 0.0, 0
Sam McDowell,Left Handed, 77, 190, 0.154, 2
Rick Renick,Right Handed, 72, 188, 0.221, 20
Jeff Torborg,Right Handed, 72, 195, 0.214, 8
Dave Campbell,Right Handed, 73, 180, 0.213, 20
Pat Kelly,Left Handed, 73, 185, 0.264, 76
Al Weis,Both Handed, 72, 160, 0.219, 7
Jerry Turner,Left Handed, 69, 180, 0.257, 45
Rick Auerbach,Right Handed, 72, 165, 0.220, 9
Keith Macwhorter,Right Handed, 76, 190, 0.0, 0
Don Wilson,Right Handed, 74, 195, 0.146, 1
Jaime Cocanower,Right Handed, 76, 200, 0.0, 0
Jeff Sellers,Right Handed, 73, 175, 0.0, 0
Sandy Valdespino,Left Handed, 68, 170, 0.230, 7
Steve Senteney,Right Handed, 74, 205, 0.0, 0
Howard Bailey,Right Handed, 72, 195, 0.0, 0
Jeff Bettendorf,Right Handed, 75, 180, 0.0, 0
Ken Phelps,Left Handed, 73, 209, 0.239, 123
Cesar Cedeno,Right Handed, 74, 175, 0.285, 199
Bob Davidson,Right Handed, 72, 185, 0.0, 0
Phil Linz,Right Handed, 73, 180, 0.235, 11
Manny Mota,Right Handed, 70, 160, 0.304, 31
Brian Snyder,Left Handed, 75, 185, 0.0, 0
Steve Renko,Right Handed, 77, 230, 0.215, 6
Rick Sofield,Left Handed, 73, 195, 0.243, 9
Carlos Velazquez,Right Handed, 71, 180, 0.0, 0
Roger Miller,Right Handed, 75, 200, 0.0, 0
Doug DeCinces,Right Handed, 74, 190, 0.259, 237
John Castino,Right Handed, 71, 175, 0.278, 41
Dave May,Left Handed, 70, 186, 0.251, 96
Ron Washington,Right Handed, 71, 155, 0.261, 20
Billy Grabarkewitz,Right Handed, 70, 165, 0.236, 28
Willie Aikens,Left Handed, 75, 220, 0.271, 110
Earl Williams,Right Handed, 75, 215, 0.247, 138
Willie Mueller,Right Handed, 76, 220, 0.0, 0
John Flinn,Right Handed, 72, 175, 0.0, 0
Don Hahn,Right Handed, 73, 180, 0.236, 7
Todd Cruz,Right Handed, 72, 175, 0.220, 34
Tom Egan,Right Handed, 76, 218, 0.200, 22
Bob Heise,Right Handed, 72, 175, 0.247, 1
Tommy Harper,Right Handed, 69, 165, 0.257, 146
Joe Wallis,Both Handed, 71, 180, 0.244, 16
Max Alvis,Right Handed, 71, 185, 0.247, 111
Rico Carty,Right Handed, 75, 200, 0.299, 204
Mike Cubbage,Left Handed, 72, 180, 0.258, 34
Les Straker,Right Handed, 73, 193, 0.0, 0
Merritt Ranew,Left Handed, 71, 170, 0.247, 8
Lyman Bostock,Left Handed, 73, 180, 0.311, 23
Damaso Garcia,Right Handed, 73, 165, 0.283, 36
Don Kainer,Right Handed, 75, 205, 0.0, 0
Don Gordon,Right Handed, 73, 175, 0.0, 0
Roy Howell,Left Handed, 73, 190, 0.261, 80
Boog Powell,Left Handed, 76, 230, 0.266, 339
Sandy Wihtol,Right Handed, 73, 195, 0.0, 0
Sonny Siebert,Right Handed, 75, 190, 0.173, 12
Jeff Richardson,Right Handed, 75, 185, 0.0, 0
Bobby Darwin,Right Handed, 74, 190, 0.251, 83
Dennis DeBarr,Left Handed, 74, 190, 0.0, 0
Dan Driessen,Left Handed, 71, 187, 0.267, 153
Bruce Miller,Right Handed, 73, 185, 0.246, 1
Bob Bailor,Right Handed, 71, 170, 0.264, 9
Tommy Helms,Right Handed, 70, 165, 0.269, 34
Tony Armas,Right Handed, 71, 182, 0.252, 251
Willie Horton,Right Handed, 71, 209, 0.273, 325
Lou Piniella,Right Handed, 72, 182, 0.291, 102
Butch Hobson,Right Handed, 73, 193, 0.248, 98
John Wathan,Right Handed, 74, 205, 0.262, 21
Hal King,Left Handed, 73, 200, 0.214, 24
Mike Krukow,Right Handed, 77, 205, 0.193, 5
Andres Mora,Right Handed, 72, 180, 0.223, 27
Barry Foote,Right Handed, 75, 205, 0.230, 57
Ed Ott,Left Handed, 70, 190, 0.259, 33
Alan Wiggins,Both Handed, 74, 160, 0.259, 5
Ron Clark,Right Handed, 70, 175, 0.189, 5
Jay Pettibone,Right Handed, 76, 182, 0.0, 0
Glen Cook,Right Handed, 71, 180, 0.0, 0
Julio Gotay,Right Handed, 72, 180, 0.260, 6
Gary Alexander,Right Handed, 74, 195, 0.230, 55
Andre Thornton,Right Handed, 75, 200, 0.254, 253
Bob Oliver,Right Handed, 75, 205, 0.256, 94
Bill Castro,Right Handed, 71, 170, 0.0, 0
Ed Hodge,Left Handed, 74, 192, 0.0, 0
Tom Buskey,Right Handed, 75, 200, 0.0, 0
Bruce Taylor,Right Handed, 72, 178, 0.0, 0
Stan Thomas,Right Handed, 74, 185, 0.0, 0
Bob Robertson,Right Handed, 73, 195, 0.242, 115
Larry Monroe,Right Handed, 76, 200, 0.0, 0
Roger Slagle,Right Handed, 75, 190, 0.0, 0
Ollie Brown,Right Handed, 74, 178, 0.265, 102
Jim Campbell,Left Handed, 71, 175, 0.0, 0
Frank Quilici,Right Handed, 73, 170, 0.214, 5
Curt Kaufman,Right Handed, 74, 175, 0.0, 0
Joe Pepitone,Left Handed, 74, 185, 0.258, 219
Steve Barber,Left Handed, 72, 195, 0.115, 5
De Wayne Vaughn,Right Handed, 71, 180, 0.0, 0
Norm Miller,Left Handed, 70, 185, 0.238, 24
Bob Galasso,Left Handed, 73, 205, 0.0, 0
Rich Wortham,Right Handed, 72, 185, 0.0, 0
Bob Chance,Left Handed, 74, 196, 0.261, 24
Julio Cruz,Both Handed, 69, 165, 0.237, 23
Bill Sample,Right Handed, 69, 175, 0.272, 46
Juan Nieves,Left Handed, 75, 175, 0.0, 0
Mike Bacsik,Right Handed, 74, 180, 0.0, 0
Craig Kusick,Right Handed, 75, 210, 0.235, 46
Rudy Meoli,Left Handed, 69, 165, 0.212, 2
Ruppert Jones,Left Handed, 70, 170, 0.250, 147
Glenn Hoffman,Right Handed, 73, 175, 0.242, 23
Russ Gibson,Right Handed, 73, 195, 0.228, 8
Phil Huffman,Right Handed, 74, 180, 0.0, 0
Terry Francona,Left Handed, 73, 190, 0.274, 16
John Bateman,Right Handed, 75, 210, 0.230, 81
Luis Pujols,Right Handed, 74, 175, 0.193, 6
Joe Gaines,Right Handed, 73, 190, 0.241, 21
Doug Rader,Right Handed, 74, 208, 0.251, 155
Mickey Stanley,Right Handed, 73, 185, 0.248, 117
Steve Brown,Right Handed, 77, 200, 0.0, 0
Rick Lysander,Right Handed, 74, 190, 0.0, 0
Phil Bradley,Right Handed, 72, 185, 0.286, 78
Winston Llenas,Right Handed, 70, 165, 0.230, 3
Charlie Moore,Right Handed, 71, 180, 0.261, 36
Ralph Garr,Left Handed, 71, 185, 0.306, 75
Tommy John,Right Handed, 75, 180, 0.157, 5
Bruce Benedict,Right Handed, 73, 175, 0.242, 18
John Ellis,Right Handed, 74, 225, 0.262, 69
Wes Parker,Both Handed, 73, 180, 0.267, 64
Mel Stottlemyre,Right Handed, 72, 190, 0.0, 0
David Green,Right Handed, 75, 170, 0.268, 31
Reid Nichols,Right Handed, 71, 165, 0.266, 22
Rick Reichardt,Right Handed, 75, 210, 0.261, 116
Luis Tiant,Right Handed, 72, 180, 0.164, 5
Alex Sanchez,Right Handed, 74, 185, 0.0, 0
Broderick Perkins,Left Handed, 70, 180, 0.271, 8
Leon Roberts,Right Handed, 75, 200, 0.267, 78
Ray Burris,Right Handed, 77, 200, 0.151, 1
Len Gabrielson,Left Handed, 76, 210, 0.253, 37
Johnny Edwards,Left Handed, 76, 220, 0.242, 81
Paul Wilmet,Right Handed, 71, 170, 0.0, 0
Tom Grieve,Right Handed, 74, 190, 0.249, 65
Bruce Ellingsen,Left Handed, 72, 180, 0.0, 0
Bob Forsch,Right Handed, 76, 200, 0.213, 12
Gorman Heimueller,Left Handed, 76, 195, 0.0, 0
Danny Cater,Right Handed, 72, 170, 0.276, 66
Bill Schroeder,Right Handed, 74, 200, 0.240, 61
Clay Dalrymple,Left Handed, 72, 190, 0.233, 55
Carlos May,Left Handed, 71, 200, 0.274, 90
Reggie Smith,Both Handed, 72, 180, 0.287, 314
Ron Reed,Right Handed, 78, 215, 0.158, 0
Fred Howard,Right Handed, 75, 190, 0.0, 0
Davey Johnson,Right Handed, 73, 170, 0.261, 136
Ellis Valentine,Right Handed, 76, 205, 0.278, 123
Roy White,Both Handed, 70, 160, 0.271, 160
Mike Brumley,Left Handed, 70, 195, 0.229, 5
Al Luplow,Left Handed, 70, 175, 0.235, 33
John Hoover,Right Handed, 74, 190, 0.0, 0
Dick Allen,Right Handed, 71, 187, 0.292, 351
Doug Ault,Right Handed, 75, 200, 0.236, 17
Mark Wagner,Right Handed, 72, 165, 0.243, 3
Mike Walters,Right Handed, 77, 203, 0.0, 0
Willie Stargell,Left Handed, 74, 188, 0.282, 475
Steve Carlton,Left Handed, 76, 210, 0.201, 13
Jake Wood,Right Handed, 73, 163, 0.250, 35
Del Unser,Left Handed, 73, 180, 0.258, 87
Bob Brower,Right Handed, 71, 185, 0.242, 17
Ray Culp,Right Handed, 72, 200, 0.123, 1
Ivan Murrell,Right Handed, 74, 195, 0.236, 33
Lee Mazzilli,Both Handed, 73, 180, 0.259, 93
Garth Iorg,Right Handed, 71, 170, 0.258, 20
Alan Ashby,Both Handed, 74, 185, 0.245, 90
Bob Brenly,Right Handed, 74, 210, 0.247, 91
Ron Blomberg,Left Handed, 73, 195, 0.293, 52
Jim Rooker,Right Handed, 72, 195, 0.201, 7
Tim Blackwell,Both Handed, 71, 170, 0.228, 6
Colby Ward,Right Handed, 74, 185, 0.0, 0
Jerry Morales,Right Handed, 70, 155, 0.259, 95
Davey Lopes,Right Handed, 69, 170, 0.263, 155
Catfish Hunter,Right Handed, 72, 190, 0.226, 6
Mario Soto,Right Handed, 72, 174, 0.132, 1
Jimmy Wynn,Right Handed, 70, 160, 0.250, 291
Hank Allen,Right Handed, 72, 190, 0.241, 6
Jim Fregosi,Right Handed, 73, 190, 0.265, 151
